No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Change_Pct,PE_Ratio,Market_Cap_USD,Vol_Intensity,Cluster
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32.63B,25.46,115.48,0.82%,1111810,0.82,25.46,32630000000.000004,3.4073245478575744e-05,0
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,18.87B,15.95,71.53,-0.74%,5665793,-0.74,15.95,18870000000.0,0.00030025400104397173,0
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.94,-0.14%,7782,-0.14,19.07,,,0
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,26.92,-0.11%,5439,-0.11,19.07,,,0
5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,-,-,19.99,0.05%,8,0.05,19.07,,,0
6,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,46.09,-1.96%,3549419,-1.96,19.07,,,0
7,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,286.16M,658.60,10.34,0.00%,447,0.0,658.6,286160000.0,1.5620631759782527e-06,0
8,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,30.81M,-,0.97,5.33%,1931,5.33,19.07,30810000.0,6.2674454311118e-05,0
9,AACI,Armada Acquisition Corp III,Financial,Shell Companies,USA,335.54M,-,9.86,0.00%,988,0.0,19.07,335540000.0,2.9445073524929744e-06,0
10,AACOU,Abony Acquisition Corp I,Financial,Shell Companies,USA,205.32M,-,9.95,-0.20%,2090,-0.2,19.07,205320000.0,1.0179232368112057e-05,0
12,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,83.25,-0.28%,2183,-0.28,19.07,,,0
13,AAEQ,Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,-,-,46.92,0.13%,4215,0.13,19.07,,,0
14,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.16B,65.26,10.84,-2.61%,52701537,-2.61,65.26,7160000000.0,0.007360549859307185,0
15,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,8.03,-6.03%,79065,-6.03,19.07,,,0
16,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,45.28M,9.85,2.22,-1.33%,11911,-1.33,9.85,45280000.0,0.0002630521143318879,0
17,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.97B,25.02,55.28,-1.64%,328432,-1.64,25.02,1970000000.0,0.00016671675118440775,0
18,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,7.81B,-,103.91,20.34%,19811717,20.34,19.07,7810000000.0,0.002536711523362777,0
19,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6.63B,62.86,81.36,-2.74%,630257,-2.74,62.86,6630000000.0,9.50613876176378e-05,0
20,AAOX,Tradr 2X Long AAOI Daily ETF,Financial,Exchange Traded Fund,USA,-,-,26.33,40.43%,2732572,40.43,19.07,,,0
21,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.11B,71.14,51.83,-4.72%,1272829,-4.72,71.14,3110000000.0,0.00040926977478801616,0
22,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,27.5,0.03%,42215,0.03,19.07,,,0
23,AAPD,Direxion Daily AAPL Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,13.84,-0.12%,13185050,-0.12,19.07,,,0
24,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,2.53B,-,27.32,3.96%,6547,3.96,19.07,2530000000.0,2.5877470345502978e-06,0
25,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3757.20B,32.38,255.92,0.11%,31149390,0.11,32.38,3757200000000.0,8.2905860747343e-06,0
26,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,-,-,28.87,0.00%,28775,0.0,19.07,,,0
27,AAPU,Direxion Daily AAPL Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,28.5,0.11%,1532098,0.11,19.07,,,0
28,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,34.85,0.32%,3048,0.32,19.07,,,0
29,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,25.9,0.27%,70061,0.27,19.07,,,0
30,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,-,22.24,0.27%,729,0.27,19.07,,,0
31,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,93.81M,-,4.3,5.13%,132532,5.13,19.07,93810000.0,0.0014127704784908806,0
32,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.15B,20.31,18.67,1.74%,356125,1.74,20.31,1150000000.0,0.0003096739127741966,0
33,AAUA,Alpha Architect US Equity 3 ETF,Financial,Exchange Traded Fund,USA,-,-,49.52,0.25%,1508,0.25,19.07,,,0
34,AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,3.87B,-,31.19,-0.06%,193823,-0.06,19.07,3870000000.0,5.008346251935828e-05,0
35,AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,-,-,19.21,-1.04%,408,-1.04,19.07,,,0
36,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,-,-,52.79,0.06%,9,0.06,19.07,,,0
37,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.69,-0.77%,2119,-0.77,19.07,,,0
38,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,96.11,-1.11%,1504343,-1.11,19.07,,,0
39,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.56B,12.87,38.63,1.68%,273374,1.68,12.87,3560000000.0,7.67904494166319e-05,0
40,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,366.15M,-,2.78,2.21%,2200270,2.21,19.07,366150000.0,0.0060092038617801345,0
41,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,369.26B,88.44,208.84,-2.86%,5083736,-2.86,88.44,369260000000.0,1.37673617504908e-05,0
42,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5.32B,13.07,78.4,-0.13%,377192,-0.13,13.07,5320000000.0,7.090075186637203e-05,0
43,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.07B,-,3.52,0.28%,3484480,0.28,19.07,1070000000.0000001,0.0032565233614425012,0
44,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,-,-,29.98,0.18%,4113,0.18,19.07,,,0
45,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,274.98M,4.83,4.82,5.24%,766632,5.24,4.83,274980000.0,0.0027879554775330734,0
46,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,37.86,0.19%,13546,0.19,19.07,,,0
47,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,45.76B,16.48,2.93,-1.35%,42957245,-1.35,16.48,45760000000.0,0.0009387509833710938,0
48,ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,71.94,0.00%,18756,0.0,19.07,,,0
49,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3.76B,7.77,194.76,0.38%,121103,0.38,7.77,3760000000.0,3.2208244672285044e-05,0
50,ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,-,-,24.89,0.16%,8,0.16,19.07,,,0
51,ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,29.45,0.06%,6354,0.06,19.07,,,0
52,ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,31.63,-0.23%,3680,-0.23,19.07,,,0
53,ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,29.9,-0.99%,251,-0.99,19.07,,,0
54,ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,18.58,0.19%,257,0.19,19.07,,,0
55,ABLV,Able View Global Inc,Consumer Cyclical,Specialty Retail,China,30.13M,-,0.61,-2.09%,2085,-2.09,19.07,30130000.0,6.920013046132989e-05,0
56,ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2.27B,15.26,38.72,0.05%,725724,0.05,15.26,2270000000.0,0.00031970220250233385,0
57,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,76.06B,30.91,124.95,-0.19%,3094492,-0.19,30.91,76060000000.0,4.0684880357077506e-05,0
58,ABNG,Leverage Shares 2x Long ABNB Daily ETF,Financial,Exchange Traded Fund,USA,-,-,14.41,-0.53%,1162,-0.53,19.07,,,0
59,ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,40.38,-1.03%,802,-1.03,19.07,,,0
60,ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,194.97M,-,2.7,5.88%,635601,5.88,19.07,194970000.0,0.0032599938284864653,0
61,ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,33.49,0.69%,23,0.69,19.07,,,0
62,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,1.45B,13.87,7.5,-0.13%,2381139,-0.13,13.87,1450000000.0,0.0016421648264536794,0
63,ABSI,Absci Corp,Healthcare,Biotechnology,USA,468.25M,-,3.06,-2.86%,4666424,-2.86,19.07,468250000.0,0.009965667891157142,0
64,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,179.16B,27.67,102.87,0.48%,5442089,0.48,27.67,179160000000.0,3.037558048654624e-05,0
65,ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,963.16M,-,0.91,-0.96%,7518746,-0.96,19.07,963160000.0,0.007806331234886902,0
66,ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,3.53M,-,1.49,5.67%,33382,5.67,19.07,3530000.0,0.00945665454485707,0
67,ABUF,Aptus Laddered Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,25.12,0.00%,0,0.0,19.07,,,0
68,ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,875.74M,-,4.48,-0.88%,611685,-0.88,19.07,875740000.0,0.0006984778579276065,0
69,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,27.73M,-,1.09,0.93%,54756,0.93,19.07,27730000.0,0.0019746122620046065,0
70,ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,48.64M,-,0.95,7.49%,1145621,7.49,19.07,48640000.0,0.023553062838136043,0
71,ABVX,Abivax ADR,Healthcare,Biotechnology,France,9.37B,-,118.37,2.96%,954766,2.96,19.07,9370000000.0,0.00010189605121644653,0
72,ABX,Abacus Global Management Inc,Financial,Insurance - Life,USA,781.03M,21.66,8.09,4.25%,594699,4.25,21.66,781030000.0,0.0007614291374704824,0
73,ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,19.34,0.12%,71,0.12,19.07,,,0
74,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,5.28B,25.41,107.7,-0.30%,308383,-0.3,25.41,5280000000.0,5.8405871201059496e-05,0
75,ACAAU,Averin Capital Acquisition Corp,Financial,Shell Companies,USA,251.31M,-,10.05,0.32%,5107,0.32,19.07,251310000.0,2.032151517917506e-05,0
76,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3.78B,9.70,22.2,-0.54%,1702906,-0.54,9.7,3780000000.0,0.0004505042326850518,0
77,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,195.08M,-,3.44,2.69%,687600,2.69,19.07,195080000.0,0.0035247077941116065,0
78,ACCL,Acco Group Holdings Ltd,Industrials,Consulting Services,Hong Kong,19.11M,145.74,1.37,3.79%,12347,3.79,145.74,19110000.0,0.0006461014837204875,0
79,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,259.69M,6.51,2.88,-1.71%,1181825,-1.71,6.51,259690000.0,0.004550906832951185,0
80,ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,32.80M,7.21,8.5,-0.58%,2697,-0.58,7.21,32799999.999999996,8.22256072492193e-05,0
81,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.10B,-,6.08,2.88%,1176039,2.88,19.07,1100000000.0,0.0010691263626644305,0
82,ACEI,Innovator Equity Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,23.23,-2.39%,20509,-2.39,19.07,,,0
83,ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,900.50M,18.29,11.04,0.36%,350151,0.36,18.29,900500000.0,0.00038884064365481326,0
84,ACEP,ARS Core Equity Portfolio ETF,Financial,Exchange Traded Fund,USA,-,-,17.66,0.20%,748,0.2,19.07,,,0
