No,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,MarketCap_Num,PE_Num,Change_Num,Volume_Num,Cap_Category,Is_Gainer,Is_Loser,Abs_Change,Log_Volume,Log_MarketCap,Price_Band,Change_ZScore
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32.63B,25.46,115.48,0.82%,"1,111,810",32630000000.000004,25.46,0.82,1111810,Large Cap,True,False,0.82,13.921500775318366,24.208497947582288,High,0.1231195037178449
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,18.87B,15.95,71.53,-0.74%,"5,665,793",18870000000.0,15.95,-0.74,5665793,Large Cap,False,True,0.74,15.549957601493164,23.660839196379865,Mid,-0.2662096200054955
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,-,24.94,-0.14%,"7,782",,,-0.14,7782,Unknown,False,True,0.14,8.959697146959389,,Low,-0.11646764934267224
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,26.92,-0.11%,"5,439",,,-0.11,5439,Unknown,False,True,0.11,8.601534339849989,,Low,-0.10898055080953108
5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,-,-,19.99,0.05%,8,,,0.05,8,Unknown,True,False,0.05,2.1972245773362196,,Very Low,-0.06904935863277822
6,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,46.09,-1.96%,"3,549,419",,,-1.96,3549419,Unknown,False,True,1.96,15.082294767821896,,Low,-0.570684960353236
7,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,286.16M,658.60,10.34,0.00%,447,286160000.0,658.6,0.0,447,Micro Cap,False,False,0.0,6.104793232414985,19.472061656409586,Very Low,-0.08152785618801349
8,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,30.81M,-,0.97,5.33%,"1,931",30810000.0,,5.33,1931,Micro Cap,True,False,5.33,7.566311014772463,17.243349903029845,Penny,1.2486799832000663
9,AACI,Armada Acquisition Corp III,Financial,Shell Companies,USA,335.54M,-,9.86,0.00%,988,335540000.0,,0.0,988,Small Cap,False,False,0.0,6.8966943316227125,19.6312517352868,Very Low,-0.08152785618801349
10,AACOU,Abony Acquisition Corp I,Financial,Shell Companies,USA,205.32M,-,9.95,-0.20%,"2,090",205320000.0,,-0.2,2090,Micro Cap,False,True,0.2,7.645397699428633,19.140080300526822,Very Low,-0.13144184640895457
11,AACPU,Apogee Acquisition Corp,Financial,Shell Companies,USA,-,-,,-,0,,,,0,Unknown,False,False,,0.0,,,
12,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,83.25,-0.28%,"2,183",,,-0.28,2183,Unknown,False,True,0.28,7.688913336864796,,Mid,-0.151407442497331
13,AAEQ,Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,-,-,46.92,0.13%,"4,215",,,0.13,4215,Unknown,True,False,0.13,8.346642090221199,,Low,-0.04908376254440179
14,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.16B,65.26,10.84,-2.61%,"52,701,537",7160000000.0,65.26,-2.61,52701537,Mid Cap,False,True,2.61,17.780155197146467,22.69177581805863,Very Low,-0.7329054285712946
15,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,8.03,-6.03%,"79,065",,,-6.03,79065,Unknown,False,True,6.03,11.278038225698847,,Very Low,-1.586434661349387
16,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,45.28M,9.85,2.22,-1.33%,"11,911",45280000.0,9.85,-1.33,11911,Micro Cap,False,True,1.33,9.385301574363845,17.628376013944006,Penny,-0.41345589115727166
17,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1.97B,25.02,55.28,-1.64%,"328,432",1970000000.0,25.02,-1.64,328432,Small Cap,False,True,1.64,12.702088138722628,21.401299380203923,Mid,-0.4908225759997303
18,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,7.81B,-,103.91,20.34%,"19,811,717",7810000000.0,,20.34,19811717,Mid Cap,True,False,20.34,16.801784138791266,22.778670800926047,High,4.994724949281694
19,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6.63B,62.86,81.36,-2.74%,"630,257",6630000000.0,62.86,-2.74,630257,Mid Cap,False,True,2.74,13.35388453834525,22.614870641295013,Mid,-0.7653495222149063
20,AAOX,Tradr 2X Long AAOI Daily ETF,Financial,Exchange Traded Fund,USA,-,-,26.33,40.43%,"2,732,572",,,40.43,2732572,Unknown,True,False,40.43,14.82075421413801,,Low,10.008585266975224
21,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3.11B,71.14,51.83,-4.72%,"1,272,829",3110000000.0,71.14,-4.72,1272829,Mid Cap,False,True,4.72,14.056753325809654,21.8578885634591,Mid,-1.2594980254022228
22,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,-,27.5,0.03%,"42,215",,,0.03,42215,Unknown,True,False,0.03,10.650554575085504,,Low,-0.07404075765487232
23,AAPD,Direxion Daily AAPL Bear 1X ETF,Financial,Exchange Traded Fund,USA,-,-,13.84,-0.12%,"13,185,050",,,-0.12,13185050,Unknown,False,True,0.12,16.394594245793897,,Very Low,-0.11147625032057813
24,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,2.53B,-,27.32,3.96%,"6,547",2530000000.0,,3.96,6547,Mid Cap,True,False,3.96,8.786914938491025,21.651485140081096,Low,0.9067691501866199
25,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3757.20B,32.38,255.92,0.11%,"31,149,390",3757200000000.0,32.38,0.11,31149390,Mega Cap,True,False,0.11,17.254305252444823,28.954695115067036,Very High,-0.0540751615664959
26,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,-,-,28.87,0.00%,"28,775",,,0.0,28775,Unknown,False,False,0.0,10.26729698537546,,Low,-0.08152785618801349
27,AAPU,Direxion Daily AAPL Bull 2X ETF,Financial,Exchange Traded Fund,USA,-,-,28.5,0.11%,"1,532,098",,,0.11,1532098,Unknown,True,False,0.11,14.242149248604722,,Low,-0.0540751615664959
28,AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,-,-,34.85,0.32%,"3,048",,,0.32,3048,Unknown,True,False,0.32,8.022568946988255,,Low,-0.0016654718345077695
29,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,-,25.9,0.27%,"70,061",,,0.27,70061,Unknown,True,False,0.27,11.15713584330377,,Low,-0.014143969389743036
30,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,-,22.24,0.27%,729,,,0.27,729,Unknown,True,False,0.27,6.593044534142437,,Low,-0.014143969389743036
31,AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,93.81M,-,4.3,5.13%,"132,532",93810000.0,,5.13,132532,Micro Cap,True,False,5.13,11.79458695000274,18.356782028761977,Penny,1.1987659929791252
32,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.15B,20.31,18.67,1.74%,"356,125",1150000000.0,20.31,1.74,356125,Small Cap,True,False,1.74,12.783039879799075,20.863027780191135,Very Low,0.3527238587341739
33,AAUA,Alpha Architect US Equity 3 ETF,Financial,Exchange Traded Fund,USA,-,-,49.52,0.25%,"1,508",,,0.25,1508,Unknown,True,False,0.25,7.319202458767849,,Low,-0.019135368411837148
34,AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,3.87B,-,31.19,-0.06%,"193,823",3870000000.0,,-0.06,193823,Mid Cap,False,True,0.06,12.174705809780674,22.0765203442465,Low,-0.09650205325429581
35,AAUM,Tema Alternative Asset Managers ETF,Financial,Exchange Traded Fund,USA,-,-,19.21,-1.04%,408,,,-1.04,408,Unknown,False,True,1.04,6.013715156042802,,Very Low,-0.3410806053369071
36,AAUS,Alpha Architect US Equity ETF,Financial,Exchange Traded Fund,USA,-,-,52.79,0.06%,9,,,0.06,9,Unknown,True,False,0.06,2.302585092994046,,Mid,-0.06655365912173117
37,AAVM,Alpha Architect Global Factor Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.69,-0.77%,"2,119",,,-0.77,2119,Unknown,False,True,0.77,7.659171367666058,,Low,-0.27369671853863664
38,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,96.11,-1.11%,"1,504,343",,,-1.11,1504343,Unknown,False,True,1.11,14.223867480742967,,Mid,-0.3585505019142365
39,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.56B,12.87,38.63,1.68%,"273,374",3560000000.0,12.87,1.68,273374,Mid Cap,True,False,1.68,12.51859975797907,21.993026382091248,Low,0.33774966166789155
40,ABAT,American Battery Technology Company,Industrials,Waste Management,USA,366.15M,-,2.78,2.21%,"2,200,270",366150000.0,,2.21,2200270,Small Cap,True,False,2.21,14.604091092560468,19.718553646202473,Penny,0.4700217357533854
41,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,369.26B,88.44,208.84,-2.86%,"5,083,736",369260000000.0,88.44,-2.86,5083736,Mega Cap,False,True,2.86,15.441557179032856,26.634766839916715,Very High,-0.7952979163474709
42,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,5.32B,13.07,78.4,-0.13%,"377,192",5320000000.0,13.07,-0.13,377192,Mid Cap,False,True,0.13,12.840512271774967,22.394739140487935,Mid,-0.11397194983162519
43,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.07B,-,3.52,0.28%,"3,484,480",1070000000.0000001,,0.28,3484480,Small Cap,True,False,0.28,15.06382966712666,20.790924486354804,Penny,-0.01164826987869598
44,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,-,-,29.98,0.18%,"4,113",,,0.18,4113,Unknown,True,False,0.18,8.322151070212902,,Low,-0.036605264989166525
45,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,274.98M,4.83,4.82,5.24%,"766,632",274980000.0,4.83,5.24,766632,Micro Cap,True,False,5.24,13.549763478223584,19.43220892934999,Penny,1.226218687600643
46,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,37.86,0.19%,"13,546",,,0.19,13546,Unknown,True,False,0.19,9.513920399580737,,Low,-0.03410956547811947
47,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,45.76B,16.48,2.93,-1.35%,"42,957,245",45760000000.0,16.48,-1.35,42957245,Large Cap,False,True,1.35,17.575715899964745,24.546676184039807,Penny,-0.41844729017936577
48,ABFL,Abacus FCF Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,71.94,0.00%,"18,756",,,0.0,18756,Unknown,False,False,0.0,9.839322295060342,,Mid,-0.08152785618801349
49,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3.76B,7.77,194.76,0.38%,"121,103",3760000000.0,7.77,0.38,121103,Mid Cap,True,False,0.38,11.704404959548949,22.04768479461417,High,0.013308725231774553
50,ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,USA,-,-,24.89,0.16%,8,,,0.16,8,Unknown,True,False,0.16,2.1972245773362196,,Low,-0.04159666401126063
51,ABIG,Argent Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,29.45,0.06%,"6,354",,,0.06,6354,Unknown,True,False,0.06,8.756997183623554,,Low,-0.06655365912173117
52,ABLD,Abacus FCF Real Assets Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,31.63,-0.23%,"3,680",,,-0.23,3680,Unknown,False,True,0.23,8.210939733379021,,Low,-0.13892894494209573
53,ABLG,Abacus FCF International Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,29.9,-0.99%,251,,,-0.99,251,Unknown,False,True,0.99,5.529429087511423,,Low,-0.3286021077816718
54,ABLS,Abacus FCF Small Cap Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,18.58,0.19%,257,,,0.19,257,Unknown,True,False,0.19,5.552959584921617,,Very Low,-0.03410956547811947
55,ABLV,Able View Global Inc,Consumer Cyclical,Specialty Retail,China,30.13M,-,0.61,-2.09%,"2,085",30130000.0,,-2.09,2085,Micro Cap,False,True,2.09,7.643003635560718,17.221031944295994,Penny,-0.6031290539968477
56,ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2.27B,15.26,38.72,0.05%,"725,724",2270000000.0,15.26,0.05,725724,Mid Cap,True,False,0.05,13.494926434169896,21.54304566888025,Low,-0.06904935863277822
57,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,76.06B,30.91,124.95,-0.19%,"3,094,492",76060000000.0,30.91,-0.19,3094492,Large Cap,False,True,0.19,14.945134638081115,25.054788339459673,High,-0.1289461468979075
58,ABNG,Leverage Shares 2x Long ABNB Daily ETF,Financial,Exchange Traded Fund,USA,-,-,14.41,-0.53%,"1,162",,,-0.53,1162,Unknown,False,True,0.53,7.0587581525186645,,Very Low,-0.21379993027350735
59,ABNY,YieldMax ABNB Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,40.38,-1.03%,802,,,-1.03,802,Unknown,False,True,1.03,6.688354713946762,,Low,-0.33858490582586004
60,ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,194.97M,-,2.7,5.88%,"635,601",194970000.0,,5.88,635601,Micro Cap,True,False,5.88,13.362327860272849,19.088356263667634,Penny,1.3859434563076543
61,ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,33.49,0.69%,23,,,0.69,23,Unknown,True,False,0.69,3.1780538303479458,,Low,0.0906754100742332
62,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,1.45B,13.87,7.5,-0.13%,"2,381,139",1450000000.0,13.87,-0.13,2381139,Small Cap,False,True,0.13,14.68308992256444,21.09482939406855,Very Low,-0.11397194983162519
63,ABSI,Absci Corp,Healthcare,Biotechnology,USA,468.25M,-,3.06,-2.86%,"4,666,424",468250000.0,,-2.86,4666424,Small Cap,False,True,2.86,15.35590381185621,19.964512901424083,Penny,-0.7952979163474709
64,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,179.16B,27.67,102.87,0.48%,"5,442,089",179160000000.0,27.67,0.48,5442089,Large Cap,True,False,0.48,15.509673736226063,25.911545098291093,High,0.03826572034224508
65,ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,963.16M,-,0.91,-0.96%,"7,518,746",963160000.0,,-0.96,7518746,Small Cap,False,True,0.96,15.832910059702552,20.685730104455555,Penny,-0.32111500924853065
66,ABTS,Abits Group Inc,Financial,Capital Markets,Hong Kong,3.53M,-,1.49,5.67%,"33,382",3530000.0,,5.67,33382,Micro Cap,True,False,5.67,10.415802067353537,15.07680871219556,Penny,1.3335337665756661
67,ABUF,Aptus Laddered Buffer ETF,Financial,Exchange Traded Fund,USA,-,-,25.12,0.00%,0,,,0.0,0,Unknown,False,False,0.0,0.0,,Low,-0.08152785618801349
68,ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,875.74M,-,4.48,-0.88%,"611,685",875740000.0,,-0.88,611685,Small Cap,False,True,0.88,13.323974357932615,20.590579802334666,Penny,-0.30114941316015426
69,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,27.73M,-,1.09,0.93%,"54,756",27730000.0,,0.93,54756,Micro Cap,True,False,0.93,10.910660493387415,17.138025453653988,Penny,0.15057219833936253
70,ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,48.64M,-,0.95,7.49%,"1,145,621",48640000.0,,7.49,1145621,Micro Cap,True,False,7.49,13.95145827891474,17.699956816181395,Penny,1.78775107758623
71,ABVX,Abivax ADR,Healthcare,Biotechnology,France,9.37B,-,118.37,2.96%,"954,766",9370000000.0,,2.96,954766,Mid Cap,True,False,2.96,13.769222610637543,22.960778933303466,High,0.6571991990819145
72,ABX,Abacus Global Management Inc,Financial,Insurance - Life,USA,781.03M,21.66,8.09,4.25%,"594,699",781030000.0,21.66,4.25,594699,Small Cap,True,False,4.25,13.295812355694686,20.47612412063852,Very Low,0.9791444360069844
73,ABXB,Abacus Flexible Bond Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,19.34,0.12%,71,,,0.12,71,Unknown,True,False,0.12,4.276666119016055,,Very Low,-0.051579462055448846
74,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,5.28B,25.41,107.7,-0.30%,"308,383",5280000000.0,25.41,-0.3,308383,Mid Cap,False,True,0.3,12.639101038651013,22.387191934853977,High,-0.15639884151942512
75,ACAAU,Averin Capital Acquisition Corp,Financial,Shell Companies,USA,251.31M,-,10.05,0.32%,"5,107",251310000.0,,0.32,5107,Micro Cap,True,False,0.32,8.53856321715243,19.342197798777253,Very Low,-0.0016654718345077695
76,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3.78B,9.70,22.2,-0.54%,"1,702,906",3780000000.0,9.7,-0.54,1702906,Mid Cap,False,True,0.54,14.347847348641046,22.052989846842458,Low,-0.2162956297845544
77,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,195.08M,-,3.44,2.69%,"687,600",195080000.0,,2.69,687600,Micro Cap,True,False,2.69,13.44096400682369,19.08892029393223,Penny,0.5898153122836439
78,ACCL,Acco Group Holdings Ltd,Industrials,Consulting Services,Hong Kong,19.11M,145.74,1.37,3.79%,"12,347",19110000.0,145.74,3.79,12347,Micro Cap,True,False,3.79,9.42124938562205,16.765722368545077,Penny,0.86434225849882
79,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,259.69M,6.51,2.88,-1.71%,"1,181,825",259690000.0,6.51,-1.71,1181825,Micro Cap,False,True,1.71,13.982571257990173,19.374999173773922,Penny,-0.5082924725770597
80,ACCS,ACCESS Newswire Inc,Communication Services,Advertising Agencies,USA,32.80M,7.21,8.5,-0.58%,"2,697",32799999.999999996,7.21,-0.58,2697,Micro Cap,False,True,0.58,7.900266036767701,17.305939103842178,Very Low,-0.2262784278287426
81,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.10B,-,6.08,2.88%,"1,176,039",1100000000.0,,2.88,1176039,Small Cap,True,False,2.88,13.977663420467701,20.818576017659826,Very Low,0.637233602993538
82,ACEI,Innovator Equity Autocallable Income Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,23.23,-2.39%,"20,509",,,-2.39,20509,Unknown,False,True,2.39,9.928667851066427,,Low,-0.6780000393282595
83,ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,900.50M,18.29,11.04,0.36%,"350,151",900500000.0,18.29,0.36,350151,Small Cap,True,False,0.36,12.766122624905135,20.618460723690777,Very Low,0.008317326209680441
84,ACEP,ARS Core Equity Portfolio ETF,Financial,Exchange Traded Fund,USA,-,-,17.66,0.20%,748,,,0.2,748,Unknown,True,False,0.2,6.618738983517219,,Very Low,-0.03161386596707241
85,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,33.46,-0.56%,"13,672",,,-0.56,13672,Unknown,False,True,0.56,9.523178364309082,,Low,-0.22128702880664852
86,ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,67.08M,-,6.99,1.60%,"64,015",67080000.0,,1.6,64015,Micro Cap,True,False,1.6,11.066888331097017,18.021396509826854,Very Low,0.3177840655795151
87,ACFN,Acorn Energy Inc,Technology,Scientific & Technical Instruments,USA,43.11M,17.35,17.2,6.34%,"5,503",43110000.0,17.35,6.34,5503,Micro Cap,True,False,6.34,8.61323037961318,17.57926556991979,Very Low,1.5007456338158187
88,ACGCU,ACP Holdings Acquisition Corp,Financial,Shell Companies,USA,-,-,,-,0,,,,0,Unknown,False,False,,0.0,,,
89,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34.42B,8.33,96.74,1.31%,"1,410,535",34420000000.0,8.33,1.31,1410535,Large Cap,True,False,1.31,14.159480331962717,24.26190362775886,Mid,0.24540877975915057
90,ACGR,American Century Large Cap Growth ETF,Financial,Exchange Traded Fund,USA,-,-,60.04,0.09%,10,,,0.09,10,Unknown,True,False,0.09,2.3978952727983707,,Mid,-0.05906656058859001
91,ACH,Accendra Health Inc,Healthcare,Medical Distribution,USA,201.03M,-,2.63,6.05%,"618,097",201030000.0,,6.05,618097,Micro Cap,True,False,6.05,13.334402299919756,19.118964713591843,Penny,1.4283703479954541
92,ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2.21B,-,23.96,1.23%,"2,129,731",2210000000.0,,1.23,2129731,Mid Cap,True,False,1.23,14.571506708173162,21.51625835292856,Low,0.22544318367077412
93,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,4.04B,-,5.42,4.03%,"20,908,655",4040000000.0,,4.03,20908655,Mid Cap,True,False,4.03,16.855673793872775,22.119510529166995,Very Low,0.9242390467639493
94,ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,171.97M,-,3.23,2.87%,"504,188",171970000.0,,2.87,504188,Micro Cap,True,False,2.87,13.13070647675858,18.96283060677535,Penny,0.634737903482491
