Ticker,Price,Change,Volume,Signal
GV,0.44,116.78%,573.86M,Top Gainers
SKYQ,5.10,101.58%,202.84M,Top Gainers
TMDE,1.87,76.42%,86.62M,Top Gainers
COCP,1.51,48.04%,136.00M,Top Gainers
SIDU,3.09,47.14%,65.06M,Top Gainers
SWMR,66.48,44.52%,7.15M,Top Gainers
FC,23.32,44.40%,2.00M,Top Gainers
KODK,11.25,20.32%,6.58M,New High
RLAY,12.54,16.43%,8.89M,New High
ERAS,17.81,7.29%,5.27M,New High
VFS,4.54,10.73%,2.69M,New High
CYCN,6.15,-3.61%,11.10M,Overbought
KORE,9.08,0.44%,37.34K,Overbought
COCP,1.51,48.04%,136.00M,Unusual Volume
BDRX,0.87,42.23%,120.56M,Unusual Volume
SELX,0.53,50.90%,88.09M,Unusual Volume
SKYQ,5.10,101.58%,202.84M,Unusual Volume
AMD,217.50,3.47%,38.26M,Upgrades
CGCT,10.28,-0.19%,56.54K,Insider Buying
